Date,Hsi_Close,Date,Dji_Close
8/21/2007,21729.35,8/21/2007,13090.86
8/22/2007,22346.88,8/22/2007,13236.13
8/23/2007,22966.97,8/23/2007,13235.88
8/24/2007,22921.89,8/24/2007,13378.87
8/27/2007,23577.73,8/27/2007,13322.13
8/28/2007,23363.76,8/28/2007,13041.85
8/29/2007,23020.6,8/29/2007,13289.29
8/30/2007,23484.54,8/30/2007,13238.73
8/31/2007,23984.14,8/31/2007,13357.74
9/3/2007,23904.09,9/4/2007,13448.86
9/4/2007,23886.07,9/5/2007,13305.47
9/5/2007,24069.17,9/6/2007,13363.35
9/6/2007,24050.4,9/7/2007,13113.38
9/7/2007,23982.61,9/10/2007,13127.85
9/10/2007,23999.7,9/11/2007,13308.39
9/11/2007,23952.24,9/12/2007,13291.65
9/12/2007,24310.14,9/13/2007,13424.88
9/13/2007,24537.02,9/14/2007,13442.52
9/14/2007,24898.11,9/17/2007,13403.42
9/17/2007,24599.34,9/18/2007,13739.39
9/18/2007,24576.85,9/19/2007,13815.56
9/19/2007,25554.64,9/20/2007,13766.7
9/20/2007,25701.13,9/21/2007,13820.19
9/21/2007,25843.78,9/24/2007,13759.06
9/24/2007,26551.94,9/25/2007,13778.65
9/25/2007,26430.29,9/26/2007,13878.15
9/26/2007,26430.29,9/27/2007,13912.94
9/27/2007,27065.15,9/28/2007,13895.63
9/28/2007,27142.47,10/1/2007,14087.55
10/1/2007,27142.47,10/2/2007,14047.31
10/2/2007,28199.75,10/3/2007,13968.05
10/3/2007,27479.94,10/4/2007,13974.31
10/4/2007,26973.98,10/5/2007,14066.01
10/5/2007,27831.52,10/8/2007,14043.73
10/8/2007,27770.29,10/9/2007,14164.53
10/9/2007,28228.04,10/10/2007,14078.69
10/10/2007,28569.33,10/11/2007,14015.12
10/11/2007,29133.02,10/12/2007,14093.08
10/12/2007,28838.37,10/15/2007,13984.8
10/15/2007,29540.78,10/16/2007,13912.94
10/16/2007,28954.55,10/17/2007,13892.54
10/17/2007,29298.71,10/18/2007,13888.96
10/18/2007,29465.05,10/19/2007,13522.02
10/19/2007,29465.05,10/22/2007,13566.97
10/22/2007,28373.63,10/23/2007,13676.23
10/23/2007,29376.86,10/24/2007,13675.25
10/24/2007,29333.53,10/25/2007,13671.92
10/25/2007,29854.49,10/26/2007,13806.7
10/26/2007,30405.22,10/29/2007,13870.26
10/29/2007,31586.9,10/30/2007,13792.47
10/30/2007,31638.22,10/31/2007,13930.01
10/31/2007,31352.58,11/1/2007,13567.87
11/1/2007,31492.88,11/2/2007,13595.1
11/2/2007,30468.34,11/5/2007,13543.4
11/5/2007,28942.32,11/6/2007,13660.94
11/6/2007,29438.13,11/7/2007,13300.02
11/7/2007,29708.93,11/8/2007,13266.29
11/8/2007,28760.22,11/9/2007,13042.74
11/9/2007,28783.41,11/12/2007,12987.55
11/12/2007,27665.73,11/13/2007,13307.09
11/13/2007,27803.35,11/14/2007,13231.01
11/14/2007,29166.01,11/15/2007,13110.05
11/15/2007,28751.21,11/16/2007,13176.79
11/16/2007,27614.43,11/19/2007,12958.44
11/19/2007,27460.17,11/20/2007,13010.14
11/20/2007,27771.21,11/21/2007,12799.04
11/21/2007,26618.19,11/23/2007,12980.88
11/22/2007,26004.92,11/26/2007,12743.44
11/23/2007,26541.09,11/27/2007,12958.44
11/26/2007,27626.62,11/28/2007,13289.45
11/27/2007,27210.21,11/29/2007,13311.73
11/28/2007,27371.24,11/30/2007,13371.72
11/29/2007,28482.54,12/3/2007,13314.57
11/30/2007,28643.61,12/4/2007,13248.73
12/3/2007,28658.42,12/5/2007,13444.96
12/4/2007,28879.59,12/6/2007,13619.89
12/5/2007,29345.45,12/7/2007,13625.58
12/6/2007,29558.92,12/10/2007,13727.03
12/7/2007,28842.47,12/11/2007,13432.77
12/10/2007,28501.1,12/12/2007,13473.9
12/11/2007,29226.84,12/13/2007,13517.96
12/12/2007,28521.06,12/14/2007,13339.85
12/13/2007,27744.45,12/17/2007,13167.2
12/14/2007,27563.64,12/18/2007,13232.47
12/17/2007,26596.58,12/19/2007,13207.27
12/18/2007,26732.87,12/20/2007,13245.64
12/19/2007,27029.26,12/21/2007,13450.65
12/20/2007,27017.09,12/24/2007,13550.04
12/21/2007,27626.92,12/26/2007,13551.69
12/24/2007,28128.8,12/27/2007,13359.61
12/27/2007,27842.93,12/28/2007,13365.87
12/28/2007,27370.6,12/31/2007,13264.82
12/31/2007,27812.65,1/2/2008,13043.96
1/2/2008,27560.52,1/3/2008,13056.72
1/3/2008,26887.28,1/4/2008,12800.18
1/4/2008,27519.69,1/7/2008,12827.49
1/7/2008,27179.49,1/8/2008,12589.07
